copart_title_code,english_description,proposed_title_category,risk_flags,source_process_recommended,rows_in_snapshot,mapped
<MISSING>,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,13,false
AC,Salvage Certificate,SALVAGE,,true,34,true
AD,Certificate of Destruction,NON_REPAIRABLE_PARTS_SCRAP,,false,1,true
AL,Salvage Title,SALVAGE,,true,6,true
AM,Parts Only,NON_REPAIRABLE_PARTS_SCRAP,,false,28,true
AN,Non-repairable Certificate,NON_REPAIRABLE_PARTS_SCRAP,,false,4,true
AQ,Clear Title,CLEAN,,true,74,true
AR,Rebuilt Title,REBUILT_RECONSTRUCTED,,true,8,true
AS,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,11,false
AT,Scrap Title,NON_REPAIRABLE_PARTS_SCRAP,,false,1,true
AV,Clean Title,CLEAN,,true,1,true
AY,Flood Title,OTHER_UNVERIFIED,WATER_FLOOD,true,0,true
B1,Salvage/Rebuilt Title Variant,STATE_VARIANT_VERIFY,STATE_VERIFICATION_REQUIRED,true,34,true
B2,Salvage/Rebuilt Title Variant,STATE_VARIANT_VERIFY,STATE_VERIFICATION_REQUIRED,true,5,true
B3,Salvage/Rebuilt Title Variant,STATE_VARIANT_VERIFY,STATE_VERIFICATION_REQUIRED,true,19,true
BA,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
BB,Bill of Sale,DOCUMENT_ONLY,,true,12,true
BC,Junk Title,NON_REPAIRABLE_PARTS_SCRAP,,false,5,true
BD,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,141,false
BE,Export Only,EXPORT_ONLY,,true,5,true
BF,Salvage Certificate,SALVAGE,,true,96,true
BI,Salvage Certificate - Theft,SALVAGE,THEFT,true,10,true
BJ,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,3,false
BL,Salvage Certificate - Water Damage,SALVAGE,WATER_FLOOD,true,34,true
BN,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,5,false
BP,Salvage Title - Parts Only,NON_REPAIRABLE_PARTS_SCRAP,,true,650,true
BR,Salvage Certificate - Rebuilt,REBUILT_RECONSTRUCTED,,true,26,true
BS,Salvage Certificate - Fire Damage,SALVAGE,FIRE,true,2070,true
BT,Salvage Certificate - Vandalism,SALVAGE,,true,63,true
BV,Salvage Certificate - Hail Damage,SALVAGE,,true,321,true
C0,Certificate of Origin,DOCUMENT_ONLY,,true,0,true
C1,Variante de Salvage Certificate,STATE_VARIANT_VERIFY,STATE_VERIFICATION_REQUIRED,true,2,true
C4,Variante de Salvage Certificate,STATE_VARIANT_VERIFY,STATE_VERIFICATION_REQUIRED,true,18,true
CA,Salvage Certificate - Airbags Deployed,SALVAGE,,true,0,true
CB,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,148,false
CC,Certificate of Clean Title,CLEAN,,true,26,true
CD,Clean Title - Rebuilt,REBUILT_RECONSTRUCTED,,true,1406,true
CE,Certificate of Emissions,DOCUMENT_ONLY,,true,7,true
CF,Clean Title - Fleet Vehicle,CLEAN_BRANDED,,true,51,true
CH,Salvage Certificate - Total Loss,SALVAGE,,true,3,true
CI,Salvage Certificate - Insurance Claim,SALVAGE,,true,4,true
CL,Certificate of Liability,DOCUMENT_ONLY,,true,3,true
CM,Salvage Certificate - Manufacturer Buyback,SALVAGE,LEMON_MANUFACTURER_BUYBACK,true,0,true
CO,Certificate of Ownership,DOCUMENT_ONLY,,true,2,true
CQ,Clean Title - Non-Repairable,NON_REPAIRABLE_PARTS_SCRAP,,true,13,true
CR,Clean Title - Rebuildable,CLEAN_BRANDED,,true,31,true
CS,Salvage Certificate - Structural Damage,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,1,true
CT,Clean Title - Theft Recovery,CLEAN_BRANDED,THEFT,true,27284,true
CV,Salvage Certificate - Mechanical Damage,SALVAGE,MECHANICAL,true,5,true
CW,Clean Title - Water Damage,CLEAN_BRANDED,WATER_FLOOD,true,1,true
CY,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,7,false
CZ,Salvage Certificate - Collision Damage,SALVAGE,,true,1325,true
D1,Variante de Salvage Certificate,STATE_VARIANT_VERIFY,STATE_VERIFICATION_REQUIRED,true,1,true
D2,Variante de Salvage Certificate,STATE_VARIANT_VERIFY,STATE_VERIFICATION_REQUIRED,true,3,true
DA,Salvage Certificate - Dealer Only,SALVAGE,DEALER_RESTRICTION,true,117,true
DC,Salvage Certificate - Cosmetic Damage,SALVAGE,,true,36,true
DE,Salvage Certificate - Electrical Damage,SALVAGE,,true,1,true
DJ,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
DL,Salvage Certificate - Dealer Loss,SALVAGE,,true,41,true
DM,Salvage Certificate - Mechanical,SALVAGE,MECHANICAL,true,1,true
DN,Salvage Certificate - Not Actual Mileage,SALVAGE,ODOMETER,true,10,true
DO,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,5,false
DP,Salvage Certificate - Parts Only,NON_REPAIRABLE_PARTS_SCRAP,,true,11,true
DQ,Salvage Certificate - Quarter Panel Damage,SALVAGE,,true,38,true
DR,Salvage Certificate - Rebuildable,SALVAGE,,true,15,true
DS,Salvage Certificate - Structural,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,4,true
DT,Salvage Certificate - Theft,SALVAGE,THEFT,true,8,true
DU,Salvage Certificate - Undercarriage Damage,SALVAGE,,true,2,true
DV,Salvage Certificate - Vandalism,SALVAGE,,true,1910,true
DY,Salvage Certificate - Water/Flood,SALVAGE,WATER_FLOOD,true,42,true
DZ,Salvage Certificate - Wind Damage,SALVAGE,,true,8,true
E,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,4,false
EC,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
EN,Salvage Certificate - Engine Damage,SALVAGE,MECHANICAL,true,0,true
EO,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
ET,Salvage Certificate - Theft,SALVAGE,THEFT,true,8,true
EU,Salvage Certificate - Unibody Damage,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,1,true
EXM,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
F1,Salvage Certificate - Frame Damage,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,22,true
F5,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,2,false
FC,Salvage Certificate - Fire,SALVAGE,FIRE,true,68,true
FL,Salvage Certificate - Flood,SALVAGE,WATER_FLOOD,true,37,true
FN,Salvage Certificate - Front End Damage,SALVAGE,,true,1,true
FP,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
FR,Salvage Certificate - Rear End Damage,SALVAGE,,true,63,true
FS,Salvage Certificate - Side Damage,SALVAGE,,true,1485,true
FT,Salvage Certificate - Theft Recovery,SALVAGE,THEFT,true,4,true
FV,Salvage Certificate - Vandalism,SALVAGE,,true,380,true
GM,Salvage Certificate - Major Damage,SALVAGE,,true,0,true
GO,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,11,false
GP,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
GS,Salvage Certificate - Storm Damage,SALVAGE,,true,0,true
HD,Salvage Certificate - Hail,SALVAGE,,true,2,true
HF,Salvage Certificate - Flood,SALVAGE,WATER_FLOOD,true,0,true
HS,Salvage Certificate - Hail/Storm,SALVAGE,,true,21,true
HT,Salvage Certificate - Hail/Theft,SALVAGE,THEFT,true,1,true
IA,Salvage Certificate - Insurance Auction,SALVAGE,,true,0,true
IC,Salvage Certificate - Collision,SALVAGE,,true,88,true
IL,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
IP,Salvage Certificate - Parts,SALVAGE,,true,176,true
IR,Salvage Certificate - Roll Over,SALVAGE,,true,92,true
JB,Salvage Certificate - Jacked,SALVAGE,,true,5,true
JC,Salvage Certificate - Collision,SALVAGE,,true,42,true
JH,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
JK,Salvage Certificate - Junk,SALVAGE,,true,26,true
JR,Salvage Certificate - Reconstructed,REBUILT_RECONSTRUCTED,,true,6,true
JT,Salvage Certificate - Total Loss,SALVAGE,,true,213,true
KC,Salvage Certificate - Crushed,NON_REPAIRABLE_PARTS_SCRAP,,true,0,true
KL,Salvage Certificate - Stolen,SALVAGE,THEFT,true,0,true
KR,Salvage Certificate - Repossession,SALVAGE,,true,1,true
KV,Salvage Certificate - Stolen/Vandalized,SALVAGE,THEFT,true,1,true
LB,Salvage Certificate - Lemon Buyback,SALVAGE,LEMON_MANUFACTURER_BUYBACK,true,2,true
