Código   Típo de Título                               Significado                                                           Procesar
AC       Salvage Certificate                          Certificado de Salvamento                                             si
AD       Certificate of Destruction                   Certificado de Destrucción                                            no
AL       Salvage Title                                Título de Salvamento                                                  si
AM       Parts Only                                   Solo para Piezas                                                      no
AN       Non-repairable Certificate                   Certificado No Reparado                                               no
AQ       Clear Title                                  Título Limpio                                                         si
AR       Rebuilt Title                                Título Reconstruido                                                   si
AT       Scrap Title                                  Título de Chatarra                                                    no
AV       Clean Title                                  Título Limpio                                                         si
AY       Flood Title                                  Título de Inundación                                                  si
B1       Variante de Salvage/Rebuilt Title            Variante de título de salvamento o reconstruidos dependiendo del estado
                                                                                                                            si específico
B2       Variante de Salvage/Rebuilt Title            Variante de título de salvamento o reconstruidos dependiendo del estado
                                                                                                                            si específico
B3       Variante de Salvage/Rebuilt Title            Variante de título de salvamento o reconstruidos dependiendo del estado
                                                                                                                            si específico
BB       Bill of Sale                                 Factura de Venta                                                      si
BC       Junk Title                                   Título de Basura                                                      no
BE       Export Only                                  Solo para Exportación                                                 si
BF       Salvage Certificate                          Certificado de Salvamento                                             si
BI       Salvage Certificate - Theft                  Certificado de Salvamento - Robo                                      si
BL       Salvage Certificate - Water Damage           Certificado de Salvamento - Daño por Agua                             si
BP       Salvage Title - Parts Only                   Título de Salvamento - Solo para Piezas                               si
BR       Salvage Certificate - Rebuilt                Certificado de Salvamento - Reconstruido                              si
BS       Salvage Certificate - Fire Damage            Certificado de Salvamento - Daño por Fuego                            si
BT       Salvage Certificate - Vandalism              Certificado de Salvamento - Vandalismo                                si
BV       Salvage Certificate - Hail Damage            Certificado de Salvamento - Daño por Granizo                          si
C0       Certificate of Origin                        Certificado de Origen                                                 si
C1       Variante de Salvage Certificate              Variante de certificado de salvamento o destrucción según el estado   si
C4       Variante de Salvage Certificate              Variante de certificado de salvamento o destrucción según el estado   si
CA       Salvage Certificate - Airbags Deployed       Certificado de Salvamento - Airbags Desplegados                       si
CC       Certificate of Clean Title                   Certificado de Título Limpio                                          si
CD       Clean Title - Rebuilt                        Título Limpio - Reconstruido                                          si
CE       Certificate of Emissions                     Certificado de Emisiones                                              si
CF       Clean Title - Fleet Vehicle                  Título Limpio - Vehículo de Flota                                     si
CH       Salvage Certificate - Total Loss             Certificado de Salvamento - Pérdida Total                             si
CI       Salvage Certificate - Insurance Claim        Certificado de Salvamento - Reclamo de Seguro                         si
CL       Certificate of Liability                     Certificado de Responsabilidad                                        si
CM       Salvage Certificate - Manufacturer Buyback   Certificado de Salvamento - Recompra del Fabricante                   si
CO       Certificate of Ownership                     Certificado de Propiedad                                              si
CQ       Clean Title - Non-Repairable                 Título Limpio - No Reparado                                           si
CR       Clean Title - Rebuildable                    Título Limpio - Reconstruible                                         si
CS       Salvage Certificate - Structural Damage      Certificado de Salvamento - Daño Estructural                          si
CT       Clean Title - Theft Recovery                 Título Limpio - Recuperación de Robo                                  si
CV       Salvage Certificate - Mechanical Damage      Certificado de Salvamento - Daño Mecánico                             si
CW       Clean Title - Water Damage                   Título Limpio - Daño por Agua                                         si
CZ       Salvage Certificate - Collision Damage       Certificado de Salvamento - Daño por Colisión                         si
D1       Variante de Salvage Certificate              Variante de certificado de salvamento según el estado                 si
D2       Variante de Salvage Certificate              Variante de certificado de salvamento según el estado                 si
DA       Salvage Certificate - Dealer Only            Certificado de Salvamento - Solo para Distribuidores                  si
DC       Salvage Certificate - Cosmetic Damage        Certificado de Salvamento - Daño Cosmético                            si
DE       Salvage Certificate - Electrical Damage      Certificado de Salvamento - Daño Eléctrico                            si
DL       Salvage Certificate - Dealer Loss            Certificado de Salvamento - Pérdida del Distribuidor                  si
DM       Salvage Certificate - Mechanical             Certificado de Salvamento - Mecánico                                  si
DN       Salvage Certificate - Not Actual Mileage     Certificado de Salvamento - Kilometraje No Real                       si
DP       Salvage Certificate - Parts Only             Certificado de Salvamento - Solo para Piezas                          si
DQ       Salvage Certificate - Quarter Panel Damage   Certificado de Salvamento - Daño en el Panel Trasero                  si
DR       Salvage Certificate - Rebuildable            Certificado de Salvamento - Reconstruible                             si
DS       Salvage Certificate - Structural             Certificado de Salvamento - Estructural                               si
DT       Salvage Certificate - Theft                  Certificado de Salvamento - Robo                                      si
DU       Salvage Certificate - Undercarriage Damage   Certificado de Salvamento - Daño en el Chasis                         si
DV       Salvage Certificate - Vandalism              Certificado de Salvamento - Vandalismo                                si
DY       Salvage Certificate - Water/Flood            Certificado de Salvamento - Agua/Inundación                           si
DZ   Salvage Certificate - Wind Damage                  Certificado de Salvamento - Daño por Viento                      si
EN   Salvage Certificate - Engine Damage                Certificado de Salvamento - Daño en el Motor                     si
ET   Salvage Certificate - Theft                        Certificado de Salvamento - Robo                                 si
EU   Salvage Certificate - Unibody Damage               Certificado de Salvamento - Daño en el Unibody                   si
